postid,lang,EventYear,postdate,articleid,Existing,TimeToFirstEdit,Topic,EventLocation,Edits30ByAll,Edits30ByRegistered,UniqueEditors30,UniqueRegEditors30,GiniEditCount,GiniEditSize,EditsSize30,EditsSizeReg,EditsSize30log,Gini_noIP,Gini
3,en,2011,3/24/11,31142430,1,0,3,Arabic,714,552,250,156,0.157048319, ,31188,24520,10.34778868,0.467672678,0.472222222
3,ar,2011,3/24/11,1027202,0,3,3,Arabic,12,12,7,6,0.47979798, ,136,136,4.912654886,0.614864865,0.652631579
3,zh,2011,3/24/11,1543200,0,0,3,Arabic,11,9,8,6,0.612127972, ,87,59,4.465908119,0.482544237,0.461900816
3,es,2011,3/24/11,4562108,0,0,3,Arabic,163,147,45,36,0.127600899, ,5358,1192,8.58634605,0.511904762,0.166666667
5,en,2011,3/24/11,61632,1,0,2,US,43,23,30,16,0.562091775, ,1483,1768,7.301822342,0.631944444,0.541262136
5,ar,2011,3/24/11,1053386,0, ,2,US,0,0,0,0, , ,0,0,0,0.158730159,0.158730159
5,zh,2011,3/24/11,1546137,0,0,2,US,10,10,4,3,0.389090909, ,3853,3853,8.256607345,0.482544237,0.461900816
5,es,2011,3/24/11,941015,1,0,2,US,13,10,8,6,0.516568047, ,2417,2399,7.790282381,0.614864865,0.652631579
8,en,2011,3/21/11,30866089,1,0,3,Arabic,108,106,41,39,0.177940672, ,4265,4231,8.35819746,0.467672678,0.515384615
8,ar,2011,3/21/11,1027801,0,0,3,Arabic,11,11,8,7,0.661998776, ,244,244,5.497168225,0.614864865,0.652631579
11,en,2011,4/27/11,7171184,1,0,2,English,62,38,34,17,0.375650364, ,4843,4108,8.485289642,0.574034767,0.35
11,ar,2011,4/27/11,4542942,0, ,2,English,0,0,0,0, , ,0,0,0,0.511904762,0.166666667
11,zh,2011,4/27/11,1017171,1,1,2,English,8,8,5,4,0.502016129, ,400,400,5.991464547,0.614864865,0.652631579
11,es,2011,4/27/11,4682049,0, ,2,English,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
12,en,2011,4/27/11,24093,1,0,1,Arabic,27,25,18,16,0.520576132, ,2088,2038,7.643961949,0,0
12,ar,2011,4/27/11,2486,1,20,1,Arabic,1,1,1,0,0, ,0,0,0,0,0
12,zh,2011,4/27/11,52579,1,20,1,Arabic,1,1,1,0,0, ,0,0,0,0.631944444,0.541262136
12,es,2011,4/27/11,30015,1,20,1,Arabic,2,2,2,1,1, ,142,142,4.955827058,0,0
15,en,2011,4/23/11,18501416,1,0,3,Chinese,148,90,48,27,0.153067933, ,8914,93042,9.095378354,0.296875,0.515384615
15,zh,2011,4/23/11,1620720,0, ,3,Chinese,0,0,0,0, , ,0,0,0,0.357226792,0.316166761
15,es,2011,4/23/11,1637601,1,1,3,Chinese,6,6,4,3,0.556681682, ,116,116,4.753590191,0.357226792,0.316166761
18,en,2011,4/20/11,30999052,1,0,5,Arabic,477,412,92,52,0.052750944, ,30456,29443,10.3240383,0.467672678,0.515384615
18,ar,2011,4/20/11,1020003,1,2,5,Arabic,10,10,4,3,0.355882353, ,5624,5624,8.634798433,0.614864865,0.652631579
18,zh,2011,4/20/11,1692156,0, ,5,Arabic,0,0,0,0, , ,0,0,0,0.357226792,0.316166761
18,es,2011,4/20/11,4536546,1,2,5,Arabic,17,12,8,5,0.387666572, ,671,-439,6.508769137,0.511904762,0.166666667
20,en,2011,4/19/11,38301,1,0,3,Spanish,76,76,31,30,0.109966501, ,4915,4915,8.500047033,0.321787102,0.319504962
20,ar,2011,4/19/11,4302,1,0,3,Spanish,3,3,3,2,0.284599699, ,46,46,3.828641396,0,0
20,zh,2011,4/19/11,39565,1,0,3,Spanish,13,7,9,6,0.103193266, ,294,232,5.683579767,0.631944444,0.541262136
20,es,2011,4/19/11,143948,1,0,3,Spanish,41,41,11,10,0.153399131, ,2922,2922,7.980023592,0.14,0.201515152
21,en,2011,4/17/11,25844590,1,0,3,Others,336,264,45,34,0.040166248, ,46750,28343,10.75256953,0.467672678,0.515384615
21,ar,2011,4/17/11,1137813,0, ,3,Others,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
21,zh,2011,4/17/11,1797089,0, ,3,Others,0,0,0,0, , ,0,0,0,0,0.346153846
21,es,2011,4/17/11,4589133,0,0,3,Others,55,55,7,6,0.048979732, ,4709,4709,8.45723085,0.511904762,0.166666667
22,en,2011,4/16/11,1492447,1,0,3,Arabic,51,32,32,19,0.46150519, ,3289,589,8.098338846,0.482544237,0.461900816
22,ar,2011,4/16/11,125337,1,0,3,Arabic,23,18,12,7,0.404379332, ,1564,457,7.355001921,0.222222222,0.300724638
22,zh,2011,4/16/11,130419,1,0,3,Arabic,12,10,10,8,0.779411765, ,645,675,6.469250317,0.14,0.201515152
22,es,2011,4/16/11,1779735,1,0,3,Arabic,8,7,7,6,0.845734127, ,553,486,6.315358002,0,0.346153846
25,en,2011,4/13/11,51884,1,0,2,Arabic,23,23,10,9,0.212432409, ,6619,6619,8.79769958,0.631944444,0.541262136
25,ar,2011,4/13/11,2393,1,0,2,Arabic,62,30,39,10,0.430524061, ,0,-1034,0,0,0
25,zh,2011,4/13/11,130418,1,4,2,Arabic,12,10,7,5,0.410059172, ,3405,3469,8.133000219,0.28,0.182692308
25,es,2011,4/13/11,181873,1,0,2,Arabic,5,3,5,3,0.369090909, ,0,21,0,0.10598161,0.129888028
27,en,2011,4/11/11,147237,1,0,2,Others,146,101,89,52,0.250762574, ,3859,1857,8.258163362,0.10598161,0.129888028
27,ar,2011,4/11/11,5569,1,0,2,Others,10,9,6,5,0.415977961, ,208,159,5.33753808,0,0
27,zh,2011,4/11/11,320036,1,0,2,Others,12,12,6,5,0.227285936, ,419,419,6.03787092,0.174603175,0
27,es,2011,4/11/11,81771,1,0,2,Others,25,14,16,7,0.316168023, ,1169,437,7.063903961,0.631944444,0.541262136
30,en,2011,4/9/11,364646,1,0,2,US,241,201,85,56,0.159510657, ,16925,57471,9.736547098,0.607231699,0.560214791
30,ar,2011,4/9/11,937261,1,0,2,US,38,37,5,4,0.072176054, ,9297,9297,9.137447046,0.614864865,0.652631579
30,zh,2011,4/9/11,712110,1,0,2,US,13,11,9,8,0.570071629, ,537,530,6.285998095,0.238636364,0.256410256
30,es,2011,4/9/11,69327,1,0,2,US,29,25,14,11,0.323567577, ,0,-497,0,0.631944444,0.541262136
31,en,2011,4/9/11,31445634,0,0,5,Others,241,199,94,61,0.196470327, ,10415,8779,9.251002354,0.467672678,0.472222222
31,ar,2011,4/9/11,1040352,0,3,5,Others,9,9,7,6,0.721897336, ,2689,2689,7.896924656,0.158730159,0.158730159
31,es,2011,4/9/11,4578190,0,1,5,Others,19,18,11,10,0.399110355, ,0,-2989,0,0.511904762,0.166666667
33,en,2011,4/7/11,8572928,1,0,2,Chinese,198,155,87,54,0.130188868, ,11390,8689,9.340491056,0,0.35
33,ar,2011,4/7/11,1289510,0, ,2,Chinese,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
33,zh,2011,4/7/11,884813,1,0,2,Chinese,123,105,49,37,0.094358396, ,4130,3405,8.326032686,0.238636364,0.256410256
33,es,2011,4/7/11,4290342,1,0,2,Chinese,14,10,11,7,0.372838983, ,1000,343,6.907755279,0.433333333,0.166666667
34,en,2011,4/7/11,31427533,0,0,5,English,325,244,102,63,0.143975542, ,22071,6012,10.00201981,0.467672678,0.472222222
34,ar,2011,4/7/11,1038204,0,1,5,English,17,16,9,8,0.443712376, ,605,605,6.405228458,0.614864865,0.652631579
34,es,2011,4/7/11,4574451,0,1,5,English,73,64,23,16,0.151665343, ,8446,9201,9.041448235,0.511904762,0.166666667
36,en,2011,4/6/11,31418294,0,0,5,Others,60,49,28,20,0.248666667, ,3360,5462,8.119696253,0.467672678,0.472222222
36,zh,2011,4/6/11,5946984,0, ,5,Others,0,0,0,0, , ,0,0,0,0.541666667,0.35
37,en,2011,4/5/11,30950046,1,0,3,Spanish,50,44,27,22,0.338618182, ,3678,3704,8.210124405,0.467672678,0.515384615
37,es,2011,4/5/11,4800369,0, ,3,Spanish,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
40,en,2011,4/4/11,31387099,0,0,5,Others,140,118,39,31,0.109591837, ,11628,9006,9.361171262,0.467672678,0.472222222
40,ar,2011,4/4/11,3098582,0, ,5,Others,0,0,0,0, , ,0,0,0,0.3,0.206060606
40,es,2011,4/4/11,4571127,0,2,5,Others,11,8,7,5,0.546103896, ,12,14,2.48490665,0.511904762,0.166666667
42,en,2011,4/3/11,23042123,1,0,5,Others,273,201,129,77,0.255618618, ,4712,-7328,8.457867725,0.467672678,0.515384615
42,ar,2011,4/3/11,602372,1,5,5,Others,1,1,1,0,0, ,0,0,0,0.607231699,0.560214791
42,zh,2011,4/3/11,1060624,1,1,5,Others,16,12,11,7,0.5921875, ,1225,935,7.110696123,0.158730159,0.158730159
42,es,2011,4/3/11,2540616,1,1,5,Others,10,7,7,4,0.6003663, ,1226,910,7.111512116,0.3,0.346153846
43,en,2011,4/3/11,31344403,0,0,6,Chinese,53,45,35,27,0.499083633, ,2311,2095,7.74543561,0.467672678,0.472222222
43,ar,2011,4/3/11,2990343,0, ,6,Chinese,0,0,0,0, , ,0,0,0,0.3,0.206060606
43,zh,2011,4/3/11,2814571,0, ,6,Chinese,0,0,0,0, , ,0,0,0,0.3,0.346153846
43,es,2011,4/3/11,4586424,0,12,6,Chinese,7,6,6,5,0.819021948, ,85,82,4.442651256,0.511904762,0.166666667
46,en,2011,5/30/11,28687508,1,0,4,Others,83,63,40,27,0.089005713, ,4599,3722,8.433594168,0.467672678,0.515384615
46,zh,2011,5/30/11,1583269,0,0,4,Others,9,9,3,2,0.086201521, ,396,396,5.981414211,0.482544237,0.461900816
46,es,2011,5/30/11,4279060,1,0,4,Others,9,6,7,4,0.106604321, ,515,424,6.244166901,0.433333333,0.166666667
47,en,2011,5/30/11,8870938,1,0,6,Others,128,104,50,35,0.195357711, ,6419,6191,8.767017621,0.296875,0.35
47,zh,2011,5/30/11,3395520,0, ,6,Others,0,0,0,0, , ,0,0,0,0.433333333,0.266666667
47,es,2011,5/30/11,5491620,0, ,6,Others,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
50,en,2011,5/29/11,28687508,1,0,4,Others,145,100,56,35,0.089005713, ,11479,9792,9.348274558,0.467672678,0.515384615
50,zh,2011,5/29/11,1583269,0,0,4,Others,18,18,5,4,0.086201521, ,4981,4981,8.513385953,0.482544237,0.461900816
50,es,2011,5/29/11,4279060,1,0,4,Others,35,21,13,8,0.106604321, ,4654,3551,8.445482344,0.433333333,0.166666667
51,en,2011,5/29/11,27530183,1,0,4,US,109,87,46,29,0.224387377, ,20148,18913,9.910860307,0.467672678,0.515384615
51,ar,2011,5/29/11,2980444,0, ,4,US,0,0,0,0, , ,0,0,0,0.3,0.206060606
53,en,2011,5/28/11,17401191,1,0,4,English,174,160,75,63,0.239684899, ,12711,12641,9.450223039,0.296875,0.515384615
53,ar,2011,5/28/11,1023186,1,0,4,English,56,53,13,10,0.088298223, ,18007,17763,9.79851585,0.614864865,0.652631579
53,zh,2011,5/28/11,1127989,1,0,4,English,62,62,8,7,0.05490868, ,8553,8553,9.054037378,0.461538462,0.461538462
53,es,2011,5/28/11,4481492,1,0,4,English,58,31,28,18,0.305687673, ,1188,-649,7.0800265,0.511904762,0.166666667
57,en,2011,5/22/11,30268846,1,0,2,Others,52,35,29,20,0.389053254, ,3515,2210,8.164794804,0.467672678,0.515384615
57,zh,2011,5/22/11,1580767,0,2,2,Others,20,20,6,5,0.1825, ,4408,4408,8.391176351,0.482544237,0.461900816
57,es,2011,5/22/11,4585067,1,2,2,Others,4,4,4,3,1.004807692, ,75,75,4.317488114,0.511904762,0.166666667
58,en,2011,5/22/11,30279615,1,0,3,Others,78,71,25,19,0.148166411, ,4930,4874,8.503094267,0.467672678,0.515384615
58,es,2011,5/22/11,4645595,0,2,3,Others,13,13,4,3,0.214003945, ,270,270,5.598421959,0.511904762,0.166666667
60,en,2011,5/21/11,690778,1,0,6,Others,251,216,109,77,0.210641977, ,10879,12898,9.294589604,0.607231699,0.560214791
60,ar,2011,5/21/11,1061712,0,1,6,Others,29,29,11,10,0.237349716, ,259,259,5.556828062,0.158730159,0.158730159
60,zh,2011,5/21/11,1580998,0,3,6,Others,18,18,9,8,0.34691358, ,2961,2961,7.993282328,0.482544237,0.461900816
60,es,2011,5/21/11,317383,1,1,6,Others,54,48,22,19,0.238071035, ,4407,4119,8.390949465,0.10598161,0.129888028
65,en,2011,5/16/11,18089765,1,0,6,US,390,300,87,55,0.070374753, ,40032,33686,10.59743441,0.296875,0.515384615
65,ar,2011,5/16/11,1060752,0,4,6,US,45,45,3,2,0.047901235, ,7558,7558,8.930361884,0.158730159,0.158730159
65,zh,2011,5/16/11,1577354,0,2,6,US,9,9,7,6,0.72345679, ,128,128,4.852030264,0.482544237,0.461900816
65,es,2011,5/16/11,4412366,1,0,6,US,15,12,12,9,0.729059829, ,737,634,6.602587892,0.433333333,0.166666667
66,en,2011,5/15/11,17830097,1,0,4,Others,98,66,44,24,0.266763848, ,5616,5235,8.633374946,0.296875,0.515384615
66,es,2011,5/15/11,4567423,1,0,4,Others,5,5,2,1,0.202040816, ,460,460,6.131226489,0.511904762,0.166666667
68,en,2011,5/15/11,1669496,1,0,1,Others,1029,911,321,246,0.128892571, ,14571,39747,9.586788531,0.357226792,0.316166761
68,ar,2011,5/15/11,231656,1,0,1,Others,49,45,14,11,0.152155071, ,2592,2193,7.860185057,0.10598161,0.129888028
68,zh,2011,5/15/11,631941,1,0,1,Others,37,33,17,14,0.299615565, ,1589,1348,7.370860167,0.607231699,0.560214791
68,es,2011,5/15/11,779937,1,0,1,Others,213,182,55,34,0.093372281, ,54924,59165,10.91370569,0.238636364,0.256410256
69,en,2011,5/14/11,22798056,1,0,6,Others,305,305,146,145,0.284384126, ,46759,46759,10.75276203,0.467672678,0.515384615
69,zh,2011,5/14/11,1292641,1,0,6,Others,23,22,10,9,0.261053018, ,11002,10993,9.305832353,0.461538462,0.461538462
69,es,2011,5/14/11,3846344,1,0,6,Others,237,97,87,24,0.188979278, ,7729,445,8.952734767,0.433333333,0.166666667
73,en,2011,5/7/11,27107717,1,0,4,Others,195,114,80,31,0.215100505, ,0,-9441,0,0.467672678,0.515384615
73,ar,2011,5/7/11,1034525,1,1,4,Others,6,6,3,2,0.405555556, ,148,148,4.997212274,0.614864865,0.652631579
73,zh,2011,5/7/11,1404071,1,0,4,Others,10,10,4,3,0.340757576, ,226,226,5.420534999,0.482544237,0.461900816
73,es,2011,5/7/11,3388499,1,0,4,Others,132,79,28,14,0.077173836, ,1331,1423,7.193685818,0.433333333,0.266666667
76,en,2011,5/7/11,20741383,1,0,3,Chinese,304,231,75,40,0.085360605, ,37437,38469,10.5304148,0.467672678,0.515384615
76,zh,2011,5/7/11,1571458,0,0,3,Chinese,61,59,17,15,0.140876285, ,12791,12791,9.456497078,0.482544237,0.461900816
76,es,2011,5/7/11,8596015,0, ,3,Chinese,0,0,0,0, , ,0,0,0,0,0.35
79,en,2011,5/5/11,10049216,1,0,2,English,194,115,124,78,0.449529073, ,6554,10199,8.787830829,0.296875,0.35
79,zh,2011,5/5/11,1570376,0,0,2,English,35,31,17,13,0.302188092, ,2224,2188,7.707062655,0.482544237,0.461900816
80,en,2011,5/2/11,19769307,1,0,3,English,561,448,179,96,0.125044087, ,25224,115967,10.1355512,0.467672678,0.515384615
80,zh,2011,5/2/11,1547320,1,0,3,English,21,21,6,5,0.265924552, ,20181,20181,9.912496847,0.482544237,0.461900816
80,es,2011,5/2/11,4612930,0,0,3,English,77,66,15,10,0.072548027, ,4393,4288,8.387767644,0.511904762,0.166666667
81,en,2011,5/2/11,27212249,1,0,4,English,114,98,36,25,0.129085873, ,5453,3009,8.603921195,0.467672678,0.515384615
81,zh,2011,5/2/11,1555458,1,0,4,English,11,11,2,1,0.091706539, ,1212,1212,7.100027167,0.482544237,0.461900816
84,en,2011,6/30/11,30372477,1,0,4,Chinese,82,68,51,39,0.410151271, ,3774,2843,8.235890726,0.467672678,0.515384615
84,ar,2011,6/30/11,990211,1,0,4,Chinese,15,15,7,6,0.367111111, ,279,279,5.631211782,0.614864865,0.652631579
84,zh,2011,6/30/11,1604555,0,2,4,Chinese,25,24,13,12,0.360218182, ,2331,1641,7.754052639,0.482544237,0.461900816
84,es,2011,6/30/11,4713986,0,0,4,Chinese,22,19,13,10,0.450967547, ,524,528,6.261491684,0.541666667,0.166666667
89,en,2011,6/28/11,9103381,1,0,2,Others,222,156,100,53,0.242705543, ,9490,8593,9.157993892,0.296875,0.35
89,ar,2011,6/28/11,1086583,0,4,2,Others,14,14,5,4,0.256590136, ,504,504,6.222576268,0.158730159,0.158730159
89,zh,2011,6/28/11,1578250,1,0,2,Others,48,48,13,12,0.141909722, ,2572,2572,7.852439085,0.482544237,0.461900816
89,es,2011,6/28/11,4621568,1,0,2,Others,50,39,23,17,0.28969009, ,16156,15517,9.690046777,0.511904762,0.166666667
90,en,2011,6/27/11,53029,1,0,4,Arabic,249,242,69,63,0.106980533, ,4993,-6959,8.515792211,0.631944444,0.541262136
90,ar,2011,6/27/11,760226,1,9,4,Arabic,10,7,7,5,0.609090909, ,127,76,4.844187086,0.238636364,0.256410256
90,zh,2011,6/27/11,24225,1,18,4,Arabic,4,4,4,3,1.001004016, ,0,-29,0,0,0
90,es,2011,6/27/11,4921398,1,0,4,Arabic,11,8,9,6,0.760975324, ,0,-50,0,0.541666667,0.166666667
91,en,2011,6/25/11,1507828,1,0,1,US,141,91,81,43,0.378533524, ,7488,7456,8.921057018,0.482544237,0.461900816
91,zh,2011,6/25/11,1591157,1,0,1,US,8,8,4,3,0.456912879, ,2415,2415,7.789454566,0.482544237,0.461900816
91,es,2011,6/25/11,4702014,0,0,1,US,33,28,14,11,0.246154729, ,5747,5623,8.656433259,0.541666667,0.166666667
92,en,2011,6/24/11,3557692,1,0,2,Others,86,58,49,29,0.386725951, ,4498,4016,8.411388133,0.433333333,0.166666667
92,ar,2011,6/24/11,2533182,0, ,2,Others,0,0,0,0, , ,0,0,0,0.3,0.346153846
92,zh,2011,6/24/11,1599271,0,0,2,Others,16,14,9,8,0.4515625, ,12,-61,2.48490665,0.482544237,0.461900816
92,es,2011,6/24/11,2600923,1,0,2,Others,10,9,8,7,0.721162791, ,1342,655,7.201916318,0.3,0.346153846
94,en,2011,6/23/11,23725,1,0,2,US,382,242,187,104,0.299865958, ,8918,7177,9.095826985,0,0
94,ar,2011,6/23/11,1997436,0, ,2,US,0,0,0,0, , ,0,0,0,0.4,0.346153846
94,zh,2011,6/23/11,1602867,0,6,2,US,14,14,4,3,0.22541744, ,1618,1618,7.388946098,0.482544237,0.461900816
94,es,2011,6/23/11,969701,1,1,2,US,50,41,26,18,0.339028571, ,1730,1578,7.455876687,0.614864865,0.652631579
95,en,2011,6/23/11,285974,1,0,6,Chinese,77,55,42,24,0.349755439, ,0,-4366,0,0.10598161,0.129888028
95,ar,2011,6/23/11,1147200,0, ,6,Chinese,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
95,zh,2011,6/23/11,488807,1,1,6,Chinese,10,6,9,5,0.9, ,82,98,4.406719247,0.607231699,0.560214791
95,es,2011,6/23/11,1852363,1,1,6,Chinese,5,4,4,3,0.720990099, ,273,216,5.609471795,0,0.346153846
100,en,2011,6/22/11,8572928,1,0,4,Chinese,97,72,45,29,0.130188868, ,6238,6747,8.738414897,0,0.35
100,ar,2011,6/22/11,1289510,0, ,4,Chinese,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
100,zh,2011,6/22/11,884813,1,0,4,Chinese,79,74,20,16,0.094358396, ,7664,14578,8.94428932,0.238636364,0.256410256
100,es,2011,6/22/11,4290342,1,0,4,Chinese,6,4,4,3,0.372838983, ,49,52,3.891820298,0.433333333,0.166666667
101,en,2011,6/20/11,390745,1,0,2,Arabic,90,72,57,43,0.444814815, ,674,76043,6.513230111,0.607231699,0.560214791
101,ar,2011,6/20/11,524564,1,1,2,Arabic,2,2,2,1,0.75, ,0,-80,0,0.607231699,0.560214791
101,zh,2011,6/20/11,657523,1,1,2,Arabic,2,2,2,1,1, ,0,-16,0,0.607231699,0.560214791
101,es,2011,6/20/11,150467,1,1,2,Arabic,3,3,2,1,0.337037037, ,1196,1196,7.086737935,0.10598161,0.129888028
103,en,2011,6/20/11,1007311,1,0,6,Others,30,25,20,15,0.526296296, ,3727,3701,8.223358899,0.614864865,0.652631579
103,zh,2011,6/20/11,290213,1,2,6,Others,10,10,3,2,0.223333333, ,3188,3188,8.06714904,0.10598161,0.129888028
103,es,2011,6/20/11,59844,1,2,6,Others,1,1,1,0,0, ,0,0,0,0.631944444,0.541262136
107,en,2011,6/16/11,8397335,1,0,4,US,18,14,13,10,0.600448934, ,1860,1788,7.528331767,0,0.35
107,zh,2011,6/16/11,3680470,0, ,4,US,0,0,0,0, , ,0,0,0,0.433333333,0.166666667
108,en,2011,6/16/11,319799,1,0,5,Arabic,209,150,105,60,0.293760233, ,5885,62103,8.68016202,0.10598161,0.129888028
108,ar,2011,6/16/11,2758,1,0,5,Arabic,33,19,18,9,0.411233548, ,740,322,6.606650186,0,0
108,zh,2011,6/16/11,1572172,1,0,5,Arabic,27,24,18,15,0.521724966, ,1096,1098,6.999422468,0.482544237,0.461900816
108,es,2011,6/16/11,38222,1,0,5,Arabic,18,18,7,6,0.333599149, ,433,433,6.070737728,0,0
111,en,2011,6/13/11,29552896,1,0,6,US,80,62,24,14,0.142253788, ,6671,6584,8.805525053,0.467672678,0.515384615
111,zh,2011,6/13/11,2763975,0, ,6,US,0,0,0,0, , ,0,0,0,0.3,0.346153846
111,es,2011,6/13/11,5153931,0, ,6,US,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
112,en,2011,6/12/11,28819205,1,0,3,Others,120,84,54,31,0.256458333, ,29429,30218,10.28973586,0.467672678,0.515384615
112,zh,2011,6/12/11,5417123,0, ,3,Others,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
112,es,2011,6/12/11,4670596,0,0,3,Others,33,28,9,7,0.137993572, ,0,-318,0,0.541666667,0.166666667
115,en,2011,6/9/11,27748317,1,0,6,US,74,74,33,32,0.270498539, ,3044,3044,8.020927719,0.467672678,0.515384615
115,es,2011,6/9/11,4664003,0,0,6,US,8,4,7,3,0.845439189, ,179,111,5.187385806,0.541666667,0.166666667
117,en,2011,6/7/11,22032764,1,0,6,Others,57,52,33,31,0.384995383, ,3551,3496,8.174984533,0.467672678,0.515384615
117,zh,2011,6/7/11,1590200,0,2,6,Others,8,8,6,5,0.689692982, ,424,424,6.049733455,0.482544237,0.461900816
117,es,2011,6/7/11,4779803,0, ,6,Others,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
119,en,2011,6/5/11,31218810,1,0,3,Others,55,52,19,17,0.168631772, ,8420,8316,9.038365107,0.467672678,0.472222222
119,es,2011,6/5/11,4663420,0,0,3,Others,20,17,6,5,0.185909091, ,88,-111,4.477336814,0.541666667,0.166666667
120,en,2011,6/5/11,32000410,0,1,5,Arabic,197,162,76,47,0.197366287, ,8687,21296,9.069582934,0.467672678,0.768776371
120,ar,2011,6/5/11,1029404,1,2,5,Arabic,9,9,6,5,0.56846525, ,335,335,5.814130532,0.614864865,0.652631579
125,en,2011,6/2/11,31954395,0,0,1,English,59,49,39,31,0.484505952, ,2988,2890,8.002359546,0.467672678,0.768776371
125,zh,2011,6/2/11,3220174,0, ,1,English,0,0,0,0, , ,0,0,0,0.3,0.444444444
125,es,2011,6/2/11,4661638,0,1,1,English,17,17,8,7,0.340097355, ,370,370,5.913503006,0.541666667,0.166666667
127,en,2011,7/30/11,21844820,1,1,4,English,113,68,50,28,0.245667937, ,0,-15812,0,0.467672678,0.515384615
127,es,2011,7/30/11,2354261,1,1,4,English,23,6,12,3,0.39357947, ,20453,295,9.92588485,0.4,0.346153846
129,en,2011,7/28/11,5099278,1,0,1,Spanish,66,52,45,33,0.511478421, ,0,26447,0,0.541666667,0.166666667
129,ar,2011,7/28/11,1101234,0,0,1,Spanish,31,31,8,7,0.127174075, ,2948,2948,7.988882253,0.461538462,0.461538462
129,zh,2011,7/28/11,1594433,1,0,1,Spanish,14,14,9,8,0.521490414, ,403,403,5.998936562,0.482544237,0.461900816
129,es,2011,7/28/11,245606,1,0,1,Spanish,121,72,72,37,0.40406415, ,9523,22999,9.161465204,0.10598161,0.129888028
130,en,2011,7/27/11,32553446,0,0,6,Others,241,214,93,68,0.173242971, ,9477,9201,9.156623089,0.467672678,0.768776371
130,ar,2011,7/27/11,1101564,0,2,6,Others,11,11,7,6,0.54756871, ,533,533,6.278521424,0.461538462,0.461538462
130,zh,2011,7/27/11,1623767,0,1,6,Others,43,42,9,8,0.104947333, ,3823,3826,8.248790734,0.357226792,0.316166761
130,es,2011,7/27/11,4772416,0,2,6,Others,21,21,7,6,0.222419812, ,2875,2875,7.963807953,0.541666667,0.166666667
132,en,2011,7/24/11,25999087,1,0,4,Others,121,87,57,37,0.300968614, ,18227,17379,9.81065929,0.467672678,0.515384615
132,ar,2011,7/24/11,1333402,0, ,4,Others,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
132,zh,2011,7/24/11,1611688,1,1,4,Others,8,8,3,2,0.299233491, ,1284,1284,7.157735484,0.357226792,0.316166761
132,es,2011,7/24/11,4098223,1,0,4,Others,53,48,12,8,0.094139557, ,9376,9211,9.145908512,0.433333333,0.166666667
133,en,2011,7/24/11,805877,1,0,4,English,205,126,102,57,0.297604105, ,7143,29800,8.873888135,0.238636364,0.256410256
133,ar,2011,7/24/11,2639250,0, ,4,English,0,0,0,0, , ,0,0,0,0.3,0.346153846
133,zh,2011,7/24/11,1071432,1,0,4,English,16,13,9,6,0.408653846, ,350,354,5.857933154,0.158730159,0.158730159
133,es,2011,7/24/11,160360,1,0,4,English,27,14,15,8,0.38426846, ,1975,1340,7.588323677,0.10598161,0.129888028
136,en,2011,7/20/11,240989,1,0,2,Chinese,56,56,27,26,0.292140895, ,2868,2868,7.961370202,0.10598161,0.129888028
136,ar,2011,7/20/11,1002232,1,0,2,Chinese,1,1,1,0,0, ,0,0,0,0.614864865,0.652631579
136,zh,2011,7/20/11,10813,1,0,2,Chinese,26,25,11,10,0.246248943, ,3475,3475,8.153349758,0,0
136,es,2011,7/20/11,277244,1,0,2,Chinese,26,12,16,6,0.485207101, ,1,-108,0,0.10598161,0.129888028
137,en,2011,7/20/11,5617427,1,0,2,Others,186,171,53,40,0.099611064, ,12667,12254,9.446755465,0.541666667,0.166666667
137,ar,2011,7/20/11,3225112,0, ,2,Others,0,0,0,0,1.001213592, ,0,0,0,0.3,0.444444444
137,zh,2011,7/20/11,1618774,0,0,2,Others,8,7,6,5,0.339506173, ,217,157,5.379897354,0.357226792,0.316166761
137,es,2011,7/20/11,1804587,1,0,2,Others,20,19,12,11,0.330426705, ,1019,1098,6.926577033,0,0.346153846
139,en,2011,7/17/11,26370879,1,0,4,English,664,427,184,110,0.045922592, ,57272,25511,10.95556713,0.467672678,0.515384615
139,ar,2011,7/17/11,1091257,1,0,4,English,10,10,6,5,0.223140496, ,428,428,6.059123196,0.116883117,0.116883117
139,zh,2011,7/17/11,1619806,0,5,4,English,11,10,6,5,0.231435943, ,901,897,6.803505258,0.357226792,0.316166761
140,en,2011,7/17/11,2360043,1,0,4,Others,143,97,73,41,0.305626192, ,3639,4304,8.199464198,0.4,0.346153846
140,ar,2011,7/17/11,681553,1,1,4,Others,11,6,7,6,0.49738292, ,285,391,5.65248918,0.607231699,0.560214791
140,zh,2011,7/17/11,652280,1,0,4,Others,30,27,12,11,0.274141414, ,2620,1539,7.870929597,0.607231699,0.560214791
